,ndvi,ndsi,ndbi,albedo,awei,gemi,LST,ndvi_lag,ndsi_lag,ndbi_lag,albedo_lag,awei_lag,gemi_lag,LST_lag,community,period,year
308,-0.015962697915796322,0.27320707123893573,-0.25414220133566895,44115.339351058654,-4027.214710322689,-1815569.5712645496,28594.050984229743,-0.013793338800275043,0.24868142826671513,-0.23191119385715103,44092.63445344087,-13007.46702156579,-1384258.801780117,28716.14543073126,1.0,1.0,2018.0
309,-0.014820569445018052,0.2641764916755633,-0.24667159798781896,45295.126640329494,-7541.875036920377,-1660216.6498578268,27401.507062824614,-0.012222441556323602,0.22850478158893694,-0.21325287313338454,43308.26187602678,-20608.304445275087,-1102265.0007338116,29445.783020370203,2.0,1.0,2018.0
310,-0.010666482920850125,0.1871328531176166,-0.1723822854751405,40037.20185762912,-33940.03846726189,-675189.6486431059,30616.994676350474,-0.0014777538820182194,0.15204078998192905,-0.1478848960436821,37602.026569311594,-43072.66246448679,-499120.03756754595,30684.101249892614,3.0,1.0,2018.0
311,-0.007987201032571207,0.1901337422360827,-0.17941241790351078,42492.94774089586,-35015.5780780781,-433965.3693413205,30441.283504320778,-0.0021067239331506045,0.16184822518242334,-0.1571185809042273,37992.84306337339,-39430.434087723916,-785738.484147984,30410.407095570583,4.0,1.0,2018.0
312,0.007903213428339747,0.08631474323291742,-0.09245950456998155,33068.19672907504,-62606.78578098472,-264645.07069874223,31133.202922951874,0.01741851100594717,0.08242911073583228,-0.09962759417521447,31674.45411016912,-57174.35977489978,-2085566.3867880665,33165.28881813909,5.0,1.0,2018.0
313,0.006939080231690617,0.09852830960084909,-0.10251687197475304,31956.81954072321,-56195.22699267317,-189568.7565277139,31131.13477365988,0.012831408304867493,0.1091291249527649,-0.12120343344788598,33891.12933367543,-49934.61120671863,-2130769.1582812094,31937.355156502672,6.0,1.0,2018.0
314,0.06207610374455156,-0.0270648387755571,-0.04055952584291107,19966.171007101686,-68176.04250054981,-7149276.544441668,35557.93952238756,0.0425170198931776,0.006635434338379766,-0.05200088719544635,23873.44896726585,-64800.4311162613,-4054706.302438968,36128.51270595894,7.0,1.0,2018.0
315,0.07465992877602158,-0.06820648741835143,-0.013532237701800367,15248.238182626363,-63412.90218216319,-6620216.267422006,41101.47325783882,0.07254652218388657,-0.05161605940560257,-0.025924287710970755,16753.741554751083,-63920.54686507974,-7033922.8580792155,37540.05267484041,8.0,1.0,2018.0
316,-0.010679233566153842,0.20342683764894542,-0.1890525887158318,39864.30562214176,-27703.66312711605,-668106.1606646505,30747.386564669654,-0.0070176875186024525,0.17614033300325357,-0.16624747264164869,39280.07118150314,-37454.50471210434,-284637.7293441893,31000.700509668583,9.0,1.0,2018.0
317,-0.0070176875186024525,0.17614033300325357,-0.16624747264164869,39280.07118150314,-37454.50471210434,-284637.7293441893,31000.700509668583,0.0005870713085047909,0.1435270731243108,-0.14154686829324487,36025.10768490007,-44418.27425314151,-808760.1656181386,31742.15656283324,10.0,1.0,2018.0
318,-0.007728371127293259,0.1453706713327115,-0.13409973543006742,39315.29926067167,-49323.03696788647,-344201.40990598977,29649.401794817804,-0.0029740095256334032,0.14857610586985437,-0.14327607737617432,38079.3071129038,-46939.94889171705,-157175.0478361458,31812.931361009374,11.0,1.0,2018.0
319,-0.005057014798368432,0.1634450501784988,-0.15532728383943464,37122.23864093166,-39886.17498091811,-131931.94226778272,31220.824179567342,-0.0008393849182766707,0.14218349628972488,-0.13906138020313286,37854.37323852157,-47823.86601330991,-511963.5674834534,31139.50087140308,12.0,1.0,2018.0
